,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
134,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,2.3t Linear Griffin Edition,,2006,249 000 km,2 290 cm3,Benzyna,185 KM,Automatyczna,Na przednie koła,,"14,80 l/100km",Sedan,,4,5,Granatowy,Metalik,18/08/2006,WU4812P,,Używane,8999,PLN,2006,249 000 km,Benzyna,Sedan,,,Tak,Belgia,,,,,,,,,,,,,,,534
135,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,,,2002,115 000 km,2 290 cm3,Benzyna,185 KM,Automatyczna,Na przednie koła,7.6 l/100km,"15,10 l/100km",Kombi,246 g/km,5,5,Srebrny,Metalik,25/03/2002,,,Używane,7900,PLN,2002,115 000 km,Benzyna,Kombi,,Tak,,Irlandia,,,,,,,,,,,,,,Tak,535
136,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,SE 2.0T,I (1998-2002),1999,280 000 km,1 985 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,14 l/100km,Kabriolet,,2,5,Czarny,Metalik,,,Tak,Używane,8000,PLN,1999,280 000 km,Benzyna,Kabriolet,,,,,,,,,,,,,,,,,,,536
137,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiDS PF Vector,II (2003-2011),2004,306 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,4.0 l/100km,7 l/100km,Sedan,157 g/km,4,5,Czarny,Metalik,25/11/2004,LRA28862,Tak,Używane,8000,PLN,2004,306 000 km,Diesel,Sedan,,,,Belgia,,,,,,,,,,,,,,,537
138,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2004,273 000 km,1 998 cm3,Benzyna,175 KM,Manualna,Na przednie koła,,,Kabriolet,,2,4,Beżowy,,04/07/2017,WKZEW74,Tak,Używane,16900,PLN,2004,273 000 km,Benzyna,Kabriolet,,Tak,,,,,,,,,,,,,,,,,538
139,Firmy,Osobowe,Tak,Tak,Saab,9-3,2.0T Aero,II (2003-2011),2004,364 150 km,1 998 cm3,Benzyna,210 KM,Manualna,Na przednie koła,,11 l/100km,Sedan,194 g/km,4,5,Czarny,Metalik,10/06/2004,WAG464,,Używane,11700,PLN,2004,364 150 km,Benzyna,Sedan,,Tak,Tak,Szwecja,,Tak,,,,Tak,,,,,,,,,539
140,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Linear,II (2003-2011),2003,272 000 km,1 998 cm3,Benzyna+LPG,150 KM,Manualna,,,10 l/100km,Sedan,,4,5,Czarny,,,,,Używane,11000,PLN,2003,272 000 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,540
141,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Linear,II (2003-2011),2005,287 596 km,1 998 cm3,Benzyna,175 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Kombi,197 g/km,5,5,Niebieski,Metalik,26/08/2005,WR386FC,Tak,Używane,10500,PLN,2005,287 596 km,Benzyna,Kombi,,Tak,,Szwecja,,,,,,,,,,,,,,,541
142,Firmy,Osobowe,Tak,Tak,Saab,9-5,,,2008,235 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,"10,20 l/100km",Sedan,,4,5,Czarny,Metalik,,EKU11426,Tak,Używane,19800,PLN,2008,235 000 km,Diesel,Sedan,,Tak,Tak,,Tak,Tak,,,,Tak,,,,,,,,,542
143,Firmy,Osobowe,Tak,,Saab,9-3,,I (1998-2002),2002,241 000 km,1 985 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,,Kompakt,,5,5,Czarny,Metalik,,,Tak,Używane,7999,PLN,2002,241 000 km,Benzyna,Kompakt,,,,,,Tak,,,,,,,,,,,,,543
144,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,2002,410 000 km,2 290 cm3,Benzyna+LPG,185 KM,Automatyczna,Na przednie koła,,,Sedan,,5,5,Czarny,Metalik,25/02/2003,SMI 7UA1,Tak,Używane,8000,PLN,2002,410 000 km,Benzyna+LPG,Sedan,,,,Szwecja,,,,,,,,,,,,,,,544
145,Firmy,Osobowe,Tak,,Saab,900,,,1995,300 000 km,2 498 cm3,Benzyna,170 KM,Automatyczna,Na przednie koła,,13 l/100km,Coupe,,2,4,Srebrny,,03/05/1995,,,Używane,9000,PLN,1995,300 000 km,Benzyna,Coupe,,,,Austria,,Tak,,,,,,,,,,,,,545
146,Firmy,Osobowe,Tak,,Saab,9-3,1.9TiDS PF Arc,II (2003-2011),2005,204 971 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,9 l/100km,Kombi,,5,5,Czarny,Metalik,,,Tak,Używane,13900,PLN,2005,204 971 km,Diesel,Kombi,,Tak,Tak,Niemcy,,Tak,,,,,,,,,,,,,546
147,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2007,290 000 km,1 998 cm3,Benzyna+LPG,150 KM,Manualna,,,,Sedan,,5,5,Czarny,,,SO3662W,,Używane,5400,PLN,2007,290 000 km,Benzyna+LPG,Sedan,,,,,,,Tak,,,,,,,,,,,,547
148,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiDS PF Arc,II (2003-2011),2005,256 571 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,4.0 l/100km,7 l/100km,Sedan,,5,5,Brązowy,Metalik,25/02/2005,RDE62597,Tak,Używane,6999,PLN,2005,256 571 km,Diesel,Sedan,,Tak,,,,,,,,,,,,,,,,,548
149,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2007,213 000 km,1 998 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,"11,90 l/100km",Sedan,,4,5,Inny kolor,Metalik,11/10/2007,,Tak,Używane,21900,PLN,2007,213 000 km,Benzyna,Sedan,,,,Niemcy,,Tak,,,,Tak,,,1 miesięcy,,,,,,549
150,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2005,364 000 km,2 792 cm3,Benzyna,250 KM,Automatyczna,Na przednie koła,,,Kombi,,5,5,Czarny,Metalik,21/12/2005,WL3304S,Tak,Używane,14700,PLN,2005,364 000 km,Benzyna,Kombi,,Tak,,Niemcy,,,,,,,Tak,,,,,,,,550
151,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TTiD PF Vector,II (2003-2011),2008,225 000 km,1 910 cm3,Diesel,180 KM,Manualna,,,8 l/100km,Sedan,,5,,Srebrny,,,,,Używane,20900,PLN,2008,225 000 km,Diesel,Sedan,,,,,,,,,12345678910117383,,,,,,,,,,551
152,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,I (1998-2002),1998,430 000 km,1 985 cm3,Benzyna+LPG,154 KM,Automatyczna,Na przednie koła,,,Kabriolet,,2,2,Czarny,Metalik,23/09/1998,WM3028S,Tak,Używane,6900,PLN,1998,430 000 km,Benzyna+LPG,Kabriolet,,,,Szwecja,,,,,,,,,,,,,,,552
153,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Vector,II (2003-2011),2007,274 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,5.0 l/100km,10 l/100km,Kombi,184 g/km,5,5,Czarny,Metalik,13/07/2007,,,Używane,14900,PLN,2007,274 000 km,Benzyna,Kombi,,,,Szwecja,,,,,,,,,,,,,,,553
154,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2008,150 200 km,1 910 cm3,Diesel,150 KM,Automatyczna,,,,Kompakt,,5,5,Czarny,Metalik,,,Tak,Używane,18000,PLN,2008,150 200 km,Diesel,Kompakt,,,,,,,,,,,,,,,,,,,554
155,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2007,220 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,7 l/100km,Sedan,,4,5,Szary,Metalik,17/07/2007,,,Używane,16500,PLN,2007,220 000 km,Diesel,Sedan,,Tak,Tak,Niemcy,,Tak,,,,Tak,,,,,,,,,555
156,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Linear BioPower,II (2003-2011),2008,320 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,5.0 l/100km,10 l/100km,Kombi,184 g/km,5,5,Srebrny,Metalik,01/02/2008,KKP 962,,Używane,11900,PLN,2008,320 000 km,Benzyna,Kombi,,,,Szwecja,,,,,,,,,,,,,,,556
157,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,Kombi 2.3 TS Aero,,2006,235 000 km,2 290 cm3,Benzyna,260 KM,Manualna,Na przednie koła,,12 l/100km,Kombi,,5,5,Czarny,Metalik,06/10/2006,CW31350,Tak,Używane,15900,PLN,2006,235 000 km,Benzyna,Kombi,Tak,Tak,Tak,Dania,,,,,,,,,,,,,,,557
158,Firmy,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2008,249 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,"10,40 l/100km",Kombi,,5,5,Czarny,Metalik,,,,Używane,16960,PLN,2008,249 000 km,Diesel,Kombi,,,Tak,Niemcy,Tak,Tak,,,,Tak,,,,,,,,,558
159,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Vector BioPower,II (2003-2011),2010,402 000 km,1 998 cm3,Benzyna,175 KM,Manualna,,,11 l/100km,Kombi,,5,,Szary,,,,,Używane,10900,PLN,2010,402 000 km,Benzyna,Kombi,,,,,,,,,YS3FB56S091002160,,,,,,,,,,559
160,Firmy,Osobowe,Tak,,Saab,9-5,,,2002,170 000 km,2 300 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Srebrny,Metalik,,,,Używane,11700,PLN,2002,170 000 km,Benzyna,Kombi,,Tak,Tak,,,Tak,,,,,,,,,,,,,560
161,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8i Linear,II (2003-2011),2004,289 000 km,1 796 cm3,Benzyna,122 KM,Manualna,Na przednie koła,5.0 l/100km,10 l/100km,Sedan,183 g/km,4,5,Beżowy,Metalik,,,Tak,Używane,7500,PLN,2004,289 000 km,Benzyna,Sedan,,Tak,Tak,,,,,,,,,,,,,,,,561
162,Osoby prywatnej,Osobowe,Tak,Tak,Saab,900,Coupe 2.0 S,,1995,218 000 km,1 985 cm3,Benzyna,130 KM,Manualna,Na przednie koła,7.0 l/100km,,Kabriolet,,3,5,Czerwony,Perłowy,10/02/1995,wpl74447,Tak,Używane,9900,PLN,1995,218 000 km,Benzyna,Kabriolet,,,,,,,,,,,,,,,,,,,562
163,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,,,2002,264 357 km,1 985 cm3,Benzyna+LPG,192 KM,Automatyczna,,,,Kombi,,5,5,Niebieski,Metalik,,,Tak,Używane,19900,PLN,2002,264 357 km,Benzyna+LPG,Kombi,,Tak,Tak,Szwajcaria,,,,,,,,,,,,,,,563
164,Firmy,Osobowe,Tak,,Saab,9-5,2.3T Linear,,2003,212 121 km,2 290 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,12 l/100km,Sedan,,4,5,Granatowy,Metalik,,,,Używane,6199,PLN,2003,212 121 km,Benzyna,Sedan,,,,,,,,,,,,,,,,,,,564
165,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,2.0T XWD Aero,,2010,196 000 km,1 998 cm3,Benzyna,220 KM,Automatyczna,4x4 (dołączany automatycznie),,"14,70 l/100km",Sedan,,4,5,Szary,Metalik,,,,Używane,69900,PLN,2010,196 000 km,Benzyna,Sedan,,Tak,Tak,Szwajcaria,,,,,,Tak,,,,,,,Tak,,565
166,Osoby prywatnej,Osobowe,Tak,Tak,Saab,900,2.0-16 S,,1993,249 000 km,1 985 cm3,Benzyna,145 KM,Manualna,Na przednie koła,,,Coupe,,3,5,Zielony,Metalik,28/05/1993,EZG81270,,Używane,33950,PLN,1993,249 000 km,Benzyna,Coupe,,Tak,,Francja,,,,,,,,,,,,,,,566
167,Osoby prywatnej,Osobowe,Tak,,Saab,9000,CSE 2.3 T,,1994,347 460 km,2 290 cm3,Benzyna+LPG,200 KM,Automatyczna,,,17 l/100km,Sedan,,5,5,Zielony,Metalik,,,,Używane,3500,PLN,1994,347 460 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,567
168,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Vector,II (2003-2011),2002,224 500 km,1 988 cm3,Benzyna,175 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,,4,5,Czarny,Metalik,13/09/2002,WPR 6238F,Tak,Używane,15000,PLN,2002,224 500 km,Benzyna,Sedan,,Tak,,Szwecja,,,,,,,,,,,,,,,568
169,Firmy,Osobowe,Tak,,Saab,9-3,1.8t Sport-Kombi Linear,II (2003-2011),2008,305 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,"10,90 l/100km",Kombi,139 g/km,5,5,Szary,Metalik,,,,Używane,15900,PLN,2008,305 000 km,Benzyna,Kombi,,Tak,Tak,,,Tak,,,,Tak,,,,,,,,,569
170,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 TiD Sport Kombi DPF Linear,II (2003-2011),2006,305 892 km,1 910 cm3,Diesel,120 KM,Manualna,,,"7,30 l/100km",Kombi,,5,5,Niebieski,Metalik,03/08/2006,PJAVP80,Tak,Używane,8000,PLN,2006,305 892 km,Diesel,Kombi,,Tak,,Niemcy,,,,,,,,,,,,,,,570
171,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiD PF Vector,II (2003-2011),2008,302 609 km,1 910 cm3,Diesel,175 KM,Manualna,Na przednie koła,,9 l/100km,Sedan,,5,5,Czarny,Metalik,13/05/2008,KR808NG,Tak,Używane,18500,PLN,2008,302 609 km,Diesel,Sedan,,Tak,Tak,Polska,,,,,,,,,,,,,,,571
172,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2004,180 000 km,1 998 cm3,Benzyna+LPG,210 KM,Automatyczna,Na przednie koła,,,Kabriolet,,2,4,Czerwony,,06/03/2009,PSL305AP,Tak,Używane,21900,PLN,2004,180 000 km,Benzyna+LPG,Kabriolet,,,,Austria,,,,,,,,,,,,,,,572
173,Firmy,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2003,266 000 km,1 998 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,,Sedan,,2,5,Czarny,Metalik,16/06/2003,dj74616,Tak,Używane,12900,PLN,2003,266 000 km,Benzyna,Sedan,,,,,,Tak,,,,,,,,,,,,,573
174,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2008,325 800 km,1 910 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,,,Kombi,,5,5,Czarny,,17/01/2008,KR2YU13,Tak,Używane,21900,PLN,2008,325 800 km,Diesel,Kombi,,Tak,,Dania,Tak,,,,,,,,,,,,,,574
175,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,3.0T Arc,,2002,303 000 km,2 962 cm3,Benzyna+LPG,200 KM,Automatyczna,Na przednie koła,,16 l/100km,Sedan,,4,5,Srebrny,Metalik,24/06/2002,NO1959U,Tak,Używane,7000,PLN,2002,303 000 km,Benzyna+LPG,Sedan,,Tak,,Belgia,,,,,,,,,,,,,,,575
176,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,,,2008,176 000 km,1 985 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,,Kombi,,5,5,Czarny,,02/05/2008,,Tak,Używane,14900,PLN,2008,176 000 km,Benzyna,Kombi,,Tak,,Polska,,,,,,,,,,,,,,,576
177,Firmy,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2009,200 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,4.8 l/100km,"7,80 l/100km",Kombi,159 g/km,5,5,Błękitny,,,,,Używane,18900,PLN,2009,200 000 km,Diesel,Kombi,Tak,Tak,Tak,,Tak,Tak,,,,,,,,,,,,,577
178,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2003,486 000 km,2 171 cm3,Diesel,125 KM,Manualna,Na przednie koła,5 l/100km,7 l/100km,Sedan,,5,,Czarny,,,,,Używane,5500,PLN,2003,486 000 km,Diesel,Sedan,,,,,,,,6 l/100km,,,,,,,,,,,578
179,Firmy,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2007,236 800 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,5.1 l/100km,"9,50 l/100km",Kombi,179 g/km,5,5,Czarny,Perłowy,21/12/2006,EJ564PA,,Używane,12900,PLN,2007,236 800 km,Diesel,Kombi,Tak,Tak,Tak,Francja,Tak,Tak,,,,,,,,,,,,,579
180,Firmy,Osobowe,Tak,,Saab,9-3,1.8t Sport-Kombi Vector,II (2003-2011),2007,304 942 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,"10,90 l/100km",Kombi,,5,5,Czarny,Metalik,,,Tak,Używane,16900,PLN,2007,304 942 km,Benzyna,Kombi,,Tak,Tak,,,Tak,,,,,,,,,,,,,580
181,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8i Linear,II (2003-2011),2003,251 000 km,1 796 cm3,Benzyna+LPG,122 KM,Manualna,,,10 l/100km,Sedan,,4,5,Srebrny,,17/11/2003,TK 8721V,Tak,Używane,7700,PLN,2003,251 000 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,581
182,Firmy,Osobowe,Tak,,Saab,9-3,1.9TiD PF Vector,II (2003-2011),2005,251 362 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,,7 l/100km,Kombi,,5,5,Czarny,Metalik,,,,Używane,9999,PLN,2005,251 362 km,Diesel,Kombi,,,,,,Tak,,,,,,,,,,,,,582
183,Firmy,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2004,344 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,"7,80 l/100km",Sedan,,5,5,Srebrny,Metalik,27/01/2005,EOP GL64,Tak,Używane,8950,PLN,2004,344 000 km,Diesel,Sedan,,,Tak,Belgia,,Tak,,,,,,,,,,,,,583
184,Osoby prywatnej,Osobowe,,,Saab,Inny,,,1968,85 525 km,1 498 cm3,Benzyna,65 KM,Manualna,,,,Coupe,,2,,Czerwony,,,,,Używane,23700,PLN,1968,85 525 km,Benzyna,Coupe,,,,,,,,,,,,,,,,,,,584
185,Firmy,Osobowe,Tak,Tak,Saab,9-3,S 2.2 TiD,II (2003-2011),2003,280 000 km,2 171 cm3,Diesel,125 KM,Manualna,Na przednie koła,5.0 l/100km,8 l/100km,Kompakt,164 g/km,5,5,Czarny,Metalik,19/09/2003,SO2356C,Tak,Używane,6999,PLN,2003,280 000 km,Diesel,Kompakt,,,,Niemcy,,Tak,,,,,,,,,,,,,585
186,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8i Arc,II (2003-2011),2004,293 610 km,1 796 cm3,Benzyna+LPG,122 KM,Manualna,,,10 l/100km,Sedan,,4,,Czarny,,,,,Używane,7900,PLN,2004,293 610 km,Benzyna+LPG,Sedan,,,,,,Tak,,,YS3FB45B141061629,,,,,,,,,,587
187,Firmy,Osobowe,Tak,Tak,Saab,9-5,,,2006,303 241 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,,Kombi,,5,5,Niebieski,Metalik,22/09/2006,PO 648NS,Tak,Używane,8900,PLN,2006,303 241 km,Diesel,Kombi,,Tak,,,,,,,,Tak,,,,,,,,,588
188,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,S 2.2 TiD,II (2003-2011),2004,294 508 km,2 171 cm3,Diesel,125 KM,Manualna,Na przednie koła,5.0 l/100km,8 l/100km,Sedan,164 g/km,5,5,Czarny,,,,,Używane,6500,PLN,2004,294 508 km,Diesel,Sedan,,Tak,,,,,Tak,,,,,,,,,,,,589
189,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Vector,II (2003-2011),2008,197 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,4.0 l/100km,6 l/100km,Kombi,132 g/km,5,5,Czarny,Metalik,,,,Używane,21900,PLN,2008,197 000 km,Benzyna,Kombi,Tak,Tak,Tak,,Tak,,,,,,,,,,,,,,590
190,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-7X,4.2i,,2006,299 890 km,4 160 cm3,Benzyna,290 KM,Automatyczna,4x4 (stały),,,SUV,,5,5,Szary,,01/12/2006,K63K,Tak,Używane,22800,PLN,2006,299 890 km,Benzyna,SUV,,Tak,,Holandia,,,,,,,,,,,,,,,591
191,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,Viggen 2.3TS,I (1998-2002),1999,222 222 km,2 290 cm3,Benzyna,230 KM,Manualna,Na przednie koła,,13 l/100km,Kabriolet,,2,4,Czarny,Metalik,01/01/1999,,Tak,Używane,89900,PLN,1999,222 222 km,Benzyna,Kabriolet,,,,,,,,,,,,,,,,,,,592
192,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,I (1998-2002),1998,330 750 km,2 200 cm3,Diesel,115 KM,Manualna,,,,Sedan,,5,5,Granatowy,,02/10/1998,lle4u69,Tak,Używane,3500,PLN,1998,330 750 km,Diesel,Sedan,,,,Niemcy,,,,,,,,,,,,,,,593
193,Firmy,Osobowe,Tak,Tak,Saab,9-3,Aero 2.0TS,I (1998-2002),2001,149 000 km,1 985 cm3,Benzyna,205 KM,Manualna,Na przednie koła,,14 l/100km,Kabriolet,,2,5,Niebieski,Metalik,05/07/2001,WI878LP,,Używane,70000,PLN,2001,149 000 km,Benzyna,Kabriolet,,,,,,,Tak,,,,,,,,,,,,594
194,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,Kombi 2.3T Vector,,2007,133 000 km,2 290 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,13 l/100km,Sedan,,5,5,Błękitny,Metalik,,,,Używane,12100,PLN,2007,133 000 km,Benzyna,Sedan,,,,Szwecja,,,,,,,,,,,,,Tak,,595
195,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2008,265 000 km,1 910 cm3,Diesel,120 KM,Manualna,,,,Sedan,,4,5,Granatowy,,,,Tak,Używane,15500,PLN,2008,265 000 km,Diesel,Sedan,,,,,,Tak,,,,,,,,,,,,,596
196,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TiD PF Vector,II (2003-2011),2009,320 000 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,,7 l/100km,Kombi,,5,,Szary,Metalik,,,Tak,Używane,12900,PLN,2009,320 000 km,Diesel,Kombi,,,,,,,Tak,,,,,,,,,,,,597
197,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Cabrio Spezial Edition,II (2003-2011),2007,133 680 km,1 998 cm3,Benzyna,210 KM,Automatyczna,,,14 l/100km,Kabriolet,,2,4,Czarny,,01/01/2007,GD 652YY,Tak,Używane,32500,PLN,2007,133 680 km,Benzyna,Kabriolet,,,,Stany Zjednoczone,,,,,,,,,,,,,,,598
198,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8i Linear,II (2003-2011),2004,330 000 km,1 796 cm3,Benzyna,122 KM,Manualna,Na przednie koła,5.0 l/100km,10 l/100km,Sedan,,4,5,Zielony,,01/01/2004,LU449HA,Tak,Używane,6500,PLN,2004,330 000 km,Benzyna,Sedan,,,,Szwecja,,,,,,,,,,,,,Tak,,599
199,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TiDS PF Vector,II (2003-2011),2006,188 054 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,"7,80 l/100km",Kombi,,5,5,Czarny,Metalik,,,Tak,Używane,7900,PLN,2006,188 054 km,Diesel,Kombi,,,Tak,Wielka Brytania,Tak,,,,,,,,,,,,,Tak,600
200,Osoby prywatnej,Osobowe,Tak,,Saab,900,2.0,,1987,230 400 km,1 985 cm3,Benzyna,99 KM,Manualna,,,,Coupe,,2,5,Biały,,,,,Używane,21900,PLN,1987,230 400 km,Benzyna,Coupe,,,,,,,,,YS3AA25C0H7037867,,,,,,,,,,601
201,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,2007,277 395 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Czarny,Metalik,,SG9159Y,Tak,Używane,19500,PLN,2007,277 395 km,Benzyna,Kombi,,Tak,Tak,Dania,,,,,,,,,,,,,,,602
202,Osoby prywatnej,Osobowe,Tak,Tak,Saab,900,Coupe 2.0 S,,1995,212 000 km,1 985 cm3,Benzyna,130 KM,Manualna,Na przednie koła,,,Kabriolet,,3,4,Srebrny,Metalik,28/12/1995,DST727AN,Tak,Używane,11500,PLN,1995,212 000 km,Benzyna,Kabriolet,,Tak,,Niemcy,,,,,,,,,,,,,,,603
203,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2006,264 500 km,1 988 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Czerwony,Metalik,,,Tak,Używane,8500,PLN,2006,264 500 km,Benzyna,Kombi,,Tak,Tak,Szwecja,,Tak,,,,Tak,,,,,,,,,604
204,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Linear,II (2003-2011),2003,253 300 km,1 998 cm3,Benzyna,175 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,197 g/km,5,5,Niebieski,Metalik,24/11/2003,,Tak,Używane,8000,PLN,2003,253 300 km,Benzyna,Sedan,,Tak,,Szwecja,,,,,,,,,,,,,,,605
205,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,2.3TS Aero,,2004,273 668 km,2 290 cm3,Benzyna,250 KM,Manualna,Na przednie koła,6.0 l/100km,13 l/100km,Sedan,,4,5,Czerwony,Metalik,19/05/2004,WRA 2162H,Tak,Używane,20000,PLN,2004,273 668 km,Benzyna,Sedan,,,,Szwecja,,,,,,,,,,,,,,,606
206,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,,,2003,303 000 km,2 290 cm3,Benzyna+LPG,250 KM,Automatyczna,,,,Kombi,,5,,Inny kolor,,,,,Używane,25000,PLN,2003,303 000 km,Benzyna+LPG,Kombi,,,,,,,,,ys3eh59g043014201,,,,,,,,,,607
