,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
31,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,Viggen 2.3TS,I (1998-2002),1999,238 954 km,2 290 cm3,Benzyna,230 KM,Manualna,Na przednie koła,,13 l/100km,Coupe,,2,5,Błękitny,Perłowy,10/08/1999,LU4141M,Tak,Używane,62000,PLN,1999,238 954 km,Benzyna,Coupe,,Tak,,,,,,,,,,,,,,,,,431
32,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2007,220 263 km,1 910 cm3,Diesel,120 KM,Manualna,,,,Sedan,,5,5,Czarny,,05/07/2007,,Tak,Używane,8500,PLN,2007,220 263 km,Diesel,Sedan,,,,,,Tak,,,,,,,,,,,,,432
33,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2005,321 553 km,1 910 cm3,Diesel,175 KM,Manualna,Na przednie koła,,"10,90 l/100km",Kombi,,5,5,Czarny,Metalik,,,Tak,Używane,12900,PLN,2005,321 553 km,Diesel,Kombi,,Tak,Tak,,,Tak,,,,,,,,,,,,,433
34,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,2009,250 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,"10,40 l/100km",Kombi,,5,5,Czarny,,22/12/2017,SPS 44152,Tak,Używane,11900,PLN,2009,250 000 km,Diesel,Kombi,,,,Belgia,Tak,,,,,,,,,,,,,,434
35,Firmy,Osobowe,Tak,Tak,Saab,9-3,,I (1998-2002),2000,302 490 km,1 985 cm3,Benzyna+LPG,154 KM,Automatyczna,Na przednie koła,,,Coupe,,2,5,Srebrny,Metalik,27/06/2000,ZSL14825,Tak,Używane,7900,PLN,2000,302 490 km,Benzyna+LPG,Coupe,,,,Niemcy,,Tak,,,,,,,,,,,,,435
36,Firmy,Osobowe,Tak,Tak,Saab,9-3,2.0T Sport-Kombi Vector,II (2003-2011),2009,274 641 km,1 998 cm3,Benzyna,175 KM,Automatyczna,Na przednie koła,,"13,30 l/100km",Kombi,,5,5,Czarny,Metalik,17/07/2009,WPL83593,Tak,Używane,23500,PLN,2009,274 641 km,Benzyna,Kombi,,,Tak,Szwecja,,Tak,,,,Tak,,,,,,,,,436
37,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.8 V6 Aero XWD,II (2003-2011),2008,161 300 km,2 792 cm3,Benzyna,280 KM,Manualna,Na przednie koła,7.0 l/100km,16 l/100km,Kombi,263 g/km,5,5,Czarny,Metalik,28/10/2008,WN2481S,Tak,Używane,26900,PLN,2008,161 300 km,Benzyna,Kombi,,,,Szwajcaria,,,,,,,Tak,,,,,,,,437
38,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Cabrio Vector,II (2003-2011),2006,141 813 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Kabriolet,206 g/km,2,4,Biały,Metalik,15/05/2022,LBL75058,Tak,Używane,25000,PLN,2006,141 813 km,Benzyna,Kabriolet,,Tak,,Niemcy,,,,,,,,,,,,,,,438
39,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Bio Power Aero,II (2003-2011),2004,156 700 km,1 998 cm3,Benzyna,209 KM,Automatyczna,Na przednie koła,,,Kabriolet,,2,5,Inny kolor,Perłowy,,,Tak,Używane,15999,PLN,2004,156 700 km,Benzyna,Kabriolet,,,,,,,,,,,,,,,,,,,439
40,Firmy,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2008,253 000 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,4.5 l/100km,"7,30 l/100km",Kombi,149 g/km,5,5,Czarny,Metalik,,,,Używane,17400,PLN,2008,253 000 km,Diesel,Kombi,,Tak,,Belgia,,Tak,,,,Tak,,,,,,,,,440
